fire_id,a,b,ha,yr
106,4.09260892868042,9.75548267364502,0.1,2021
107,54.74739456176758,16.16344451904297,0.03,2021
108,5.454955101013184,4.706818580627441,0.06,2021
109,19.795793533325195,13.135492324829102,0.1,2021
110,,,1.5,2021
111,23.20046615600586,15.635293006896973,0.1,2021
112,40.570716857910156,28.4628849029541,0.17,2021
113,0.07850001007318497,1.3337045907974243,0.05,2021
116,9.387152671813965,22.62880516052246,0.03,2021
117,33.143924713134766,36.64507293701172,0.05,2021
118,0.5422297120094299,0.563186764717102,0.03,2021
119,33.007572174072266,64.94633483886719,0.03,2021
120,25.84292221069336,54.72037124633789,0.03,2021
121,3.775446891784668,22.636764526367188,0.02,2021
124,57.89363479614258,86.57716369628906,0.03,2021
125,75.21288299560547,43.60068130493164,0.01,2021
126,58.4456787109375,59.6772346496582,0.01,2021
127,72.06482696533203,5.548039436340332,0.1,2021
128,0.0021222298964858055,41.315040588378906,0.16,2021
129,50.177738189697266,74.45392608642578,0.1,2021
132,55.132877349853516,10.427576065063477,0.1,2021
133,23.121429443359375,1.6959269046783447,20.0,2021
134,15.504745483398438,39.776554107666016,55.0,2021
135,60.370277404785156,80.18978118896484,0.1,2021
136,56.254478454589844,67.3619613647461,250.0,2021
137,54.80234146118164,69.14755249023438,10.0,2021
138,66.51306915283203,32.48231887817383,0.1,2021
141,,,0.01,2021
142,51.939186096191406,26.962665557861328,12.0,2021
146,9.448166847229004,6.976034641265869,0.4,2021
148,59.42567825317383,1.1411644220352173,1.0,2021
150,1.7044535875320435,6.297752857208252,0.08,2021
151,31.63330078125,75.18822479248047,0.01,2021
153,68.27997589111328,14.398614883422852,0.1,2021
154,59.85769271850586,75.46721649169922,0.09,2021
157,,,0.02,2021
158,30.216325759887695,62.96586227416992,0.06,2021
159,,,0.01,2021
160,17.011119842529297,28.183948516845703,0.02,2021
161,68.53788757324219,71.44198608398438,0.02,2021
162,0.7263883948326111,3.8618721961975098,0.1,2021
164,4.472102165222168,18.860639572143555,0.1,2021
166,2.072288751602173,7.393833160400391,3.0,2021
169,4.9232707023620605,38.738651275634766,0.05,2021
170,7.741462707519531,0.7051455974578857,0.05,2021
171,38.3593864440918,30.914060592651367,0.03,2021
172,26.272050857543945,17.72850227355957,1.0,2021
173,87.19609832763672,76.30152893066406,0.01,2021
174,,,0.17,2021
175,0.05922691524028778,6.938579082489014,0.1,2021
178,0.8806992769241333,9.696722030639648,0.01,2021
179,2.3911144733428955,18.503183364868164,0.01,2021
184,51.525699615478516,39.59330749511719,0.3,2021
185,7.13532829284668,15.001579284667969,0.3,2021
187,66.8473892211914,86.66333770751953,1.5,2021
188,96.7042007446289,93.67630004882812,0.33,2021
191,5.351922512054443,60.88691711425781,0.02,2021
193,8.312292098999023,1.0827113389968872,0.2,2021
194,70.6159896850586,98.40248107910156,0.01,2021
197,18.632034301757812,16.97770118713379,1.0,2021
198,23.248825073242188,31.95326042175293,0.2,2021
199,75.40042114257812,79.93836975097656,0.5,2021
200,13.376813888549805,2.284196376800537,0.03,2021
204,49.68599319458008,85.9031753540039,0.1,2021
