fold,test_year,prow,pcol,year,month,day,hour,sample_type,y_true_t1,y_prob_t1,y_true_t2,y_prob_t2,y_true_t3,y_prob_t3
1,2021,696,1142,2021,3,25,19,pre_ignition,0,0.056763206,1,0.047698475,0,0.03546408
1,2021,696,1142,2021,3,25,18,pre_ignition,0,0.09203426,0,0.074714474,1,0.050462257
1,2021,971,1062,2021,3,25,10,pre_ignition,1,0.058212243,0,0.08926236,0,0.113930054
1,2021,971,1062,2021,3,25,9,pre_ignition,0,0.027740758,1,0.04669831,0,0.071781546
1,2021,971,1062,2021,3,25,8,pre_ignition,0,0.021314392,0,0.036523145,1,0.058500312
1,2021,1072,945,2021,3,24,15,pre_ignition,1,0.012049061,0,0.021158388,0,0.035074085
1,2021,1072,945,2021,3,24,14,pre_ignition,0,0.012049061,1,0.021158388,0,0.035074085
1,2021,1072,945,2021,3,24,13,pre_ignition,0,0.012049061,0,0.021158388,1,0.035074085
1,2021,577,1129,2021,3,23,16,pre_ignition,1,0.13781536,0,0.11402052,0,0.07527388
1,2021,577,1129,2021,3,23,15,pre_ignition,0,0.14734426,1,0.12935695,0,0.08981387
1,2021,577,1129,2021,3,23,14,pre_ignition,0,0.1309368,0,0.11983616,1,0.08996488
1,2021,603,1268,2021,3,23,14,pre_ignition,1,0.0842897,0,0.07576477,0,0.055695593
1,2021,603,1268,2021,3,23,13,pre_ignition,0,0.06710588,1,0.068408154,0,0.056945458
1,2021,603,1268,2021,3,23,12,pre_ignition,0,0.06279204,0,0.07197067,1,0.06460542
1,2021,804,1379,2021,3,23,14,pre_ignition,1,0.09226888,0,0.07346851,0,0.051279448
1,2021,804,1379,2021,3,23,13,pre_ignition,0,0.112811655,1,0.09954204,0,0.0737757
1,2021,804,1379,2021,3,23,12,pre_ignition,0,0.12766959,0,0.13032728,1,0.10792968
1,2021,794,1259,2021,3,23,14,pre_ignition,1,0.11486206,0,0.09055706,0,0.060841784
1,2021,794,1259,2021,3,23,13,pre_ignition,0,0.105866134,1,0.0980866,0,0.074620485
1,2021,794,1259,2021,3,23,12,pre_ignition,0,0.089461476,0,0.098519854,1,0.08908067
1,2021,976,1182,2021,3,23,13,pre_ignition,1,0.09694419,0,0.08625291,0,0.06266474
1,2021,976,1182,2021,3,23,12,pre_ignition,0,0.10222092,1,0.10523273,0,0.08490589
1,2021,976,1182,2021,3,23,11,pre_ignition,0,0.05463739,0,0.07415139,1,0.07459276
1,2021,1082,1405,2021,3,23,13,pre_ignition,1,0.14578816,0,0.12328762,0,0.08649168
1,2021,1082,1405,2021,3,23,12,pre_ignition,0,0.18640177,1,0.18043391,0,0.14002536
1,2021,1082,1405,2021,3,23,11,pre_ignition,0,0.14503446,0,0.17235109,1,0.16155438
