config,use_seq,n_static,fold,test_year,val_year,horizon_h,plgbm,n_test,n_pos_test,auroc,auprc,f1,csi,pod,far,threshold,epochs_run,best_epoch,stop_reason,fold_sec
A_plgbm_doy,False,3,4,2024,2025,2,P_lgbm_r20,25369,261,0.5758628472126849,0.07874532406234719,0.19679633867276888,0.10913705583756345,0.16475095785440613,0.7556818181818182,0.279344379901886,17,2,early_stop,1.8
A_plgbm_doy,False,3,4,2024,2025,3,P_lgbm_r20,25369,172,0.5180415534887413,0.051902501374455366,0.18243243243243243,0.10037174721189591,0.1569767441860465,0.782258064516129,0.3144019842147827,17,2,early_stop,1.9
A_plgbm_doy,False,3,5,2025,2021,1,P_lgbm_r20,26556,1734,0.8227190049902712,0.26023689220330937,0.34813874788494076,0.21075544174135724,0.4746251441753172,0.7251169004676019,0.16256941854953766,18,3,early_stop,1.9
A_plgbm_doy,False,3,5,2025,2021,2,P_lgbm_r20,26556,1466,0.8371043506677461,0.214413080641765,0.32401797928473713,0.193330223880597,0.5654843110504775,0.7729389208436045,0.15120892226696014,18,3,early_stop,1.9
A_plgbm_doy,False,3,5,2025,2021,3,P_lgbm_r20,26556,1262,0.8289628235030526,0.16410416088950452,0.2682526661197703,0.15490288962576979,0.5182250396196514,0.8190370780298838,0.12863828241825104,18,3,early_stop,1.9
B_static_all,False,7,1,2021,2022,1,P_lgbm_r20,28366,612,0.8479289153868653,0.12612653674585336,0.22498364944408109,0.12675018422991893,0.28104575163398693,0.8124318429661941,0.28090351819992065,27,12,early_stop,3.4
B_static_all,False,7,1,2021,2022,2,P_lgbm_r20,28366,433,0.853765803342194,0.07773576298573888,0.17966101694915254,0.09869646182495345,0.24480369515011546,0.85809906291834,0.26346632838249207,27,12,early_stop,3.4
B_static_all,False,7,1,2021,2022,3,P_lgbm_r20,28366,314,0.8611972101856334,0.05194842181156329,0.12151898734177215,0.0646900269541779,0.22929936305732485,0.9173363949483353,0.21119585633277893,27,12,early_stop,3.4
B_static_all,False,7,2,2022,2023,1,P_lgbm_r20,35827,7978,0.9363070385100914,0.8506966822309965,0.8081507624692016,0.6780645882221478,0.760591626974179,0.13794573092768858,0.15807142853736877,27,12,early_stop,2.6
B_static_all,False,7,2,2022,2023,2,P_lgbm_r20,35827,7296,0.9386930889884625,0.8247587558498499,0.8003975014196479,0.6672189349112426,0.7727521929824561,0.16990577149587752,0.13385218381881714,27,12,early_stop,2.7
B_static_all,False,7,2,2022,2023,3,P_lgbm_r20,35827,6735,0.9407572306517347,0.806262486138595,0.7927981995498875,0.6567238379318916,0.7845582776540461,0.19878695981804398,0.1179458349943161,27,12,early_stop,2.7
B_static_all,False,7,3,2023,2024,1,P_lgbm_r20,30380,2589,0.8371843345557086,0.34307451425514485,0.40341819476588925,0.25267618198037467,0.43762070297412126,0.6258256274768824,0.24359387159347534,19,4,early_stop,2.0
