fire_id,datetime,damagearea,firecause,address_raw,matched_address,recover_level,x_5179,y_5179
4230,2022-03-28 10:20:00,0.02,입산자실화,경남 창원 마산합포 구산 석곡 산186,경상남도 창원시 마산합포구 구산면 석곡리,ri,1096169.66349167,1680136.23667288
4238,2022-03-12 20:30:00,0.02,담뱃불실화,전북 남원 이백 춘문 산54,전북특별자치도 남원시 이백면 춘문동,dong,996192.193031556,1715199.2019
4240,2022-03-12 12:49:00,3.0,기타,전남 함평 나산 월봉 산10,전라남도 함평군 나산면 월봉리,ri,917089.002890486,1681177.56911174
4242,2022-03-12 11:34:00,0.05,기타,강원 춘천 동산 군자 산12-13,강원특별자치도 춘천시 동산면 군자리,ri,1021371.2573999,1973960.95144183
4243,2022-03-12 07:52:00,3.8,기타,경남 산청 사천 내대 산325,경상남도 산청군,sgg,1037021.88192632,1711364.3547
4250,2022-03-10 14:04:00,0.1,담뱃불실화,충남 공주 우성 내산 산17-1,충청남도 공주시 우성면 내산리,ri,962629.984706318,1834692.02391841
4254,2022-03-09 20:07:00,1.0,기타,울산 북 천곡 산4,울산광역시 북구 천곡동,dong,1164953.31617212,1740790.2566928
4256,2022-03-09 14:50:00,0.3,기타,전북 임실 강진 학석 산31-1,전북특별자치도 임실군 강진면 학석리,ri,966429.235963236,1729905.9052999
4258,2022-03-09 14:17:00,0.1,농산부산물소각,경남 창녕 고암 간상 산107,경상남도 창녕군 고암면 간상리,ri,1090830.69817202,1733947.80747024
4262,2022-03-08 20:01:00,1.0,입산자실화,전북 장수 변암 동화 산108-1,전북특별자치도 장수군,sgg,1004469.61694011,1739637.57985
4270,2022-03-06 16:40:00,0.1,기타,경남 남해 이동 무림 230,경상남도 남해군 이동면 무림리,ri,1041937.26180058,1644400.61918282
4279,2022-03-05 15:05:00,0.02,기타,충남 청양 남양 신왕 산98,충청남도 청양군 남양면 신왕리,ri,931651.538198652,1823743.75199534
4294,2022-03-04 11:17:00,16301.98,기타,경북 울진 북 두천 산154,경상북도 울진군 북면 두천리,ri,1158394.32754886,1892748.26650669
