date,hour,top1_pop,top5_pop,top1_pop_day,top5_pop_day,top1_pop_old,top5_pop_old,top5_old_house,wui_top5_cells,max_prob,mean_prob,top10_pop
2022-06-14,8,5146792.996848896,15875097.584610894,4478250.877611842,13863624.793965094,739939.3587794504,2481838.2702985373,1151196.9069182961,2319,0.18478912115097046,0.003912891261279583,36716.29541784525
2022-06-15,8,1002717.0628151298,9610077.14275252,857181.305078855,7723342.350794968,205742.63854864804,1585987.6834977323,783456.4365555863,1770,0.09043821692466736,0.0016107124974951148,21157.65562734008
2022-06-16,8,3254952.54725796,9000893.301514424,2665023.666437243,7156783.094473043,620738.2052658107,1667441.0803288622,833943.2370214347,2907,0.04487420246005058,0.0015612812712788582,35091.17190763354
2022-06-17,8,2917450.127882391,9522116.088085927,2452645.998323646,7656043.294352094,586859.3439615029,1648684.255547294,832647.3488678909,2323,0.03381050378084183,0.0021809921599924564,25608.945655077696
2022-06-18,8,1176757.8293610066,12135978.944905318,1092600.9541883587,10179760.461373705,253731.46860429953,2077443.1738829743,930081.8817830526,2530,0.07292472571134567,0.002005134243518114,33916.31921094656
2022-06-19,8,1316166.3525489643,6674468.554713801,1206971.767911817,5426912.466276487,281579.78832802875,1321777.1750310496,675836.4508264603,2699,0.09181913733482361,0.002245913026854396,25370.510350435972
2022-06-20,8,1283694.4507149085,10384219.231366888,1180315.436269857,8244673.813217997,266276.2927784434,1929118.0021224937,973803.3716909334,2538,0.11085910350084305,0.0029640942811965942,27185.391312152147
2022-06-21,8,1795323.6008614153,9942489.598334417,1537779.0902050636,7980776.487425204,360903.72849065665,1810326.2057022727,920273.8143225481,2302,0.08080057054758072,0.002849029377102852,25342.960369497538
2022-06-22,8,2842832.008121036,12800359.844235405,2377503.604294668,9442261.838260941,561071.6083397485,2187598.1875939476,980884.6409198751,2591,0.08925504982471466,0.0026676226407289505,31101.09154650569
2022-06-23,8,5144611.701426052,14059197.945105948,4053008.1628422644,11389977.568899138,921354.0487823769,2374529.9907679493,1131571.9122200834,2686,0.1356353908777237,0.0030812567565590143,43216.85694810748
2022-06-24,8,2187334.3680595458,6516699.955229066,1814179.773285129,5142371.78913419,464965.6623248964,1299347.7160960478,654863.1848124986,3645,0.03640790283679962,0.0007106373086571693,30702.84908926487
2022-06-25,8,1109854.3376431838,6329847.743951045,1034014.9957892613,5073692.75902906,217123.80183933326,1189953.5153334546,628314.982943191,3590,0.09550342708826065,0.0006135315634310246,26476.84447452426
2022-06-26,8,613574.4706640467,3966263.99076391,525624.478317527,3184358.6458755825,140745.10411130317,757515.5129877565,397396.86966340395,3093,0.0765102282166481,0.0006750233587808907,25483.566651523113
2022-06-27,8,1081726.9315774739,4103442.1718528196,993615.2278804146,3362529.675077142,195522.73525160286,745928.7133530653,371213.7929755875,2736,0.014964591711759567,0.0003927805519197136,22665.39531967044
2022-06-28,8,2359026.7049535736,7159771.131003194,1814017.8100476023,5485479.985234242,371385.45525261597,1115351.7600484493,536219.1413817974,2869,0.04621545970439911,0.0014516283990815282,21267.802597612143
2022-06-29,8,1116737.0366451517,4452956.105994813,957418.7956166073,3633106.568297079,237382.56454124107,893198.4418824753,457511.876877763,3763,0.03563084825873375,0.001379380002617836,23805.173029333353
2022-06-30,8,2168278.203319058,5202592.361978263,1745860.6845800178,4156365.6675910493,431495.6576284073,1010302.8387914995,517756.1756443317,2502,0.035976044833660126,0.0011049761669710279,28488.508983939886
2023-02-01,8,4445074.409782983,8798570.657255605,3472153.4255376467,6826494.20526653,889603.209111879,1733196.8480602298,889786.5438952144,4129,0.3055311143398285,0.01164059154689312,25759.02021765709
2023-02-02,8,3225967.9548898935,9307924.591357335,2641414.7269291794,7418685.35321372,689814.789808351,1823506.2322527624,954610.3084739512,3990,0.277118057012558,0.010083955712616444,22121.118986666203
2023-02-03,8,4395582.79267925,9806811.461341873,3622561.7552649863,7947732.482711227,885654.0244586351,1943152.020779559,1022601.1467071841,4451,0.36171287298202515,0.016496282070875168,17644.24378502369
2023-02-04,8,3152488.2968337834,13314073.716664135,2611507.404373182,10302054.086887443,614678.2398828032,2442943.7925128033,1222477.8714451601,4072,0.3188762962818146,0.014949600212275982,29887.820085018873
2023-02-05,8,4631426.395168357,12539320.137376785,3723065.9736146587,9988793.438654695,920749.6155843791,2400738.704987866,1242486.9537530108,3614,0.24842624366283417,0.01697145774960518,30382.507573634386
2023-02-06,8,4239226.247929767,8797516.725144237,3385665.4448979655,6948760.204560628,875948.897123684,1740150.6023510261,906231.2120749354,3447,0.3061886727809906,0.017402226105332375,26514.985815435648
2023-02-07,8,1952319.856158547,5982743.224598303,1543270.6214913512,4731213.492931279,411433.90044663055,1209976.9311633739,634461.4124140819,2439,0.3249931037425995,0.016033628955483437,23833.47492235899
2023-02-08,8,296249.6689002365,3678439.3383405805,211477.79527151637,2831897.790573911,58630.84956353624,718638.7106040613,400228.8834562929,1804,0.2556649446487427,0.015238369815051556,22536.4364964962
2023-02-09,8,608068.2182593793,3464140.8738070875,496382.0711721539,2885777.0821419526,134169.77263443067,744995.4745293118,392167.60562710604,1801,0.36128872632980347,0.01291815284639597,18175.783979445696
