fire_id,ignite_h,scan_hour,horizon,loc,damagearea,haz_top_pct,is_wui,pop
33,2021-04-27 12:00:00,11,1,전북 전주 완산,0.1,42.08313751220703,False,2672.5496922433376
32,2021-04-27 13:00:00,11,2,강원 인제 인제,0.17,51.22492980957031,True,189.91675660014153
31,2021-04-27 15:00:00,14,1,광주 남 nan,0.04,9.83050537109375,True,13.796299815177917
30,2021-04-29 13:00:00,11,2,강원 영월 영월,0.01,1.223623275756836,False,710.4486036598682
28,2021-04-29 14:00:00,11,3,전북 무주 무풍,10.0,3.109193801879883,False,97.27998840808868
29,2021-04-29 14:00:00,11,3,전북 완주 비봉,0.05,34.500118255615234,False,2.4860921502113342
25,2021-04-30 12:00:00,11,1,전남 여수 소라,0.3,20.246971130371094,False,2.639742851257324
24,2021-04-30 13:00:00,11,2,대구 달성 가창,0.03,29.639572143554688,False,0.0
23,2021-05-03 13:00:00,11,2,경기 오산 nan,0.01,80.22866821289062,False,50.53606855869293
22,2021-05-03 15:00:00,14,1,경기 의왕 nan,0.01,77.6563949584961,False,704.2795285284519
21,2021-05-06 17:00:00,14,3,강원 인제 서화,0.1,,False,0.0
18,2021-05-08 12:00:00,11,1,강원 횡성 안흥,0.01,94.4884262084961,False,0.0
17,2021-05-08 17:00:00,14,3,대전 유성 nan,0.05,95.63125610351562,False,1158.5986825227737
15,2021-05-09 12:00:00,11,1,전남 구례 산동,0.02,8.635737419128418,False,0.0
16,2021-05-09 12:00:00,11,1,경북 고령 대가야,1.4,1.308097004890442,False,1186.6931321322918
13,2021-05-09 13:00:00,11,2,강원 철원 철원,0.03,86.51736450195312,False,731.7461519539356
14,2021-05-09 13:00:00,11,2,강원 홍천 남,0.2,87.95647430419922,False,13.552952408790588
12,2021-05-09 17:00:00,14,3,강원 철원 철원,0.01,81.9536361694336,False,731.7461519539356
10,2021-05-10 14:00:00,11,3,전북 부안 진서,0.1,14.574894905090332,False,0.0
8,2021-05-13 15:00:00,14,1,강원 태백 nan,1.2,0.4123689830303192,False,7.476409286260605
7,2021-05-13 17:00:00,14,3,전남 함평 대동,0.01,9.722250938415527,False,6.755821913480759
5,2021-05-27 15:00:00,14,1,경북 고령 개진,0.13,5.620530128479004,True,15.407239437103271
4,2021-05-31 15:00:00,14,1,전남 보성 율어,0.05,13.271761894226074,True,13.922116041183472
2,2021-06-07 15:00:00,14,1,강원 강릉 주문진,0.01,1.4311522245407104,False,5.825138568878174
3,2021-06-07 15:00:00,14,1,강원 강릉 주문진,0.01,2.485328197479248,False,0.0
1,2021-06-08 14:00:00,11,3,강원 홍천 내촌,0.04,94.1263198852539,False,0.0
4927,2022-02-01 14:00:00,11,3,경북 구미 nan,0.2,27.394611358642578,True,330.2996426820755
4925,2022-02-03 15:00:00,14,1,경북 문경 영순,0.03,29.674148559570312,False,26.955691307783127
5337,2022-02-04 13:00:00,11,2,경기 화성 송산,0.9,75.48419952392578,False,74.63961550593376
5336,2022-02-04 14:00:00,11,3,강원 정선 화암,0.1,90.0780029296875,False,4.667485475540161
5334,2022-02-05 12:00:00,11,1,경남 의령 부림,1.0,18.58922004699707,False,1.4851233959197998
5333,2022-02-05 13:00:00,11,2,부산 사상 nan,0.07,9.349770545959473,True,1038.754307627678
5332,2022-02-05 16:00:00,14,2,경북 경주 양남,0.1,4.439112663269043,False,0.0
5331,2022-02-06 13:00:00,11,2,경남 통영 산양,0.5,4.875044345855713,False,8.156418889760971
5328,2022-02-07 12:00:00,11,1,경북 안동 풍산,0.1,44.56571578979492,True,32.115991204977036
5327,2022-02-08 13:00:00,11,2,경기 남양주 조안,0.5,65.44759368896484,True,13.365056693553925
5326,2022-02-08 14:00:00,11,3,울산 울주 상북,0.05,18.080053329467773,False,31.411957174539566
5323,2022-02-10 12:00:00,11,1,경기 양평 개군,0.01,77.83856201171875,True,66.6558797955513
5322,2022-02-10 14:00:00,11,3,경기 광주 nan,0.06,85.07000732421875,False,854.5214054882526
5320,2022-02-10 15:00:00,14,1,경기 남양주 와부,0.04,65.52357482910156,False,3.0708291232585907
5321,2022-02-10 15:00:00,14,1,대구 동 nan,1.5,5.43794059753418,False,56.5729455947876
5318,2022-02-11 13:00:00,11,2,부산 기장 철마,0.04,0.9620828032493591,False,8.514895379543304
5315,2022-02-11 14:00:00,11,3,경남 밀양 초동,0.06,51.97929763793945,True,23.722932517528534
5316,2022-02-11 14:00:00,11,3,경북 울진 북,0.5,49.07185745239258,False,1.1546194553375244
5317,2022-02-11 14:00:00,11,3,충남 청양 남양,0.06,76.16282653808594,True,18.397847563028336
5314,2022-02-11 16:00:00,14,2,강원 양양 양양,0.1,39.60073471069336,False,1388.0349988937378
5313,2022-02-11 17:00:00,14,3,충남 공주 우성,0.12,80.9045639038086,False,1.585705727338791
5309,2022-02-12 13:00:00,11,2,충북 영동 상촌,0.5,63.989505767822266,False,130.83016458153725
