date,hour,top1_pop,top5_pop,wui_top5_cells,max_prob,mean_prob,top10_pop
2021-04-02,14,326309.4598646462,2799097.861157052,5812,0.7213824987411499,0.22910870611667633,36799.85989296436
2021-04-03,11,494811.609362185,3115650.4335464835,5923,0.6760123372077942,0.06709928065538406,34709.76311707497
2021-04-03,14,591223.2836586535,2239788.7746140957,4822,0.4855923056602478,0.023773392662405968,20485.41105338931
2021-04-04,11,400988.0782491267,1673082.8755026758,3718,0.01783929578959942,0.0021466875914484262,21594.550097614527
2021-04-04,14,843791.3166330755,3641921.6165374815,4297,0.1113564521074295,0.0025491511914879084,23276.792265594006
2021-04-05,11,1984574.5890145302,7032865.907692105,5204,0.2886568307876587,0.005836303345859051,43367.338533490896
2021-04-05,14,1252702.2458236516,4852718.671312332,4464,0.3566906452178955,0.010844225995242596,34678.64708250761
2021-04-06,11,711080.4451679587,2820618.089714028,4892,0.35085728764533997,0.008022889494895935,22984.054632604122
2021-04-06,14,1138215.7725052834,3351990.629446,5390,0.4054318368434906,0.02675710804760456,33909.54253870249
2021-04-07,11,387041.31555487216,1365593.3613017127,3508,0.5164063572883606,0.019777905195951462,32729.774410516024
2021-04-07,14,620299.8539528251,2185195.094990507,4850,0.6195968389511108,0.038344644010066986,24327.431646466255
2021-04-08,11,251471.97469908,2599792.92870526,4629,0.6440944075584412,0.09012170135974884,29822.29880771041
2021-04-08,14,261465.6973977983,3927766.862663649,5804,0.6777982711791992,0.13137662410736084,33029.831714749336
2021-04-09,11,458415.06798131764,3414499.3925109208,5505,0.6534039974212646,0.09677210450172424,32519.780354082584
2021-04-09,14,377727.9706225693,2745053.9057890326,6100,0.7399832606315613,0.11368028074502945,28092.195764303207
2021-04-10,11,1418527.2538530082,6989010.924568191,7248,0.46815064549446106,0.05311829596757889,47046.39706534147
2021-04-10,14,1085032.0322285295,4633755.281285942,6600,0.5293025374412537,0.0949665755033493,33835.48345223069
2021-04-11,11,821214.3073826581,4288633.926593833,6098,0.651058554649353,0.08828704804182053,34022.20663508773
2021-04-11,14,184816.15976583958,1702644.8884509504,4583,0.6988179683685303,0.16964568197727203,27087.326851010323
2021-04-12,11,1299069.7371228635,4824017.482616812,6801,0.5322781801223755,0.07719659805297852,41634.844302117825
2021-04-12,14,941531.1767876446,6518932.596064359,6476,0.7224341034889221,0.0321383997797966,42238.90379461646
2021-04-13,11,1093608.8896451592,4388965.277435556,4111,0.055506277829408646,0.002847527852281928,37595.15018552542
2021-04-13,14,587456.7723636627,3595691.036420226,4919,0.4349338710308075,0.008138250559568405,25496.850756824017
2021-04-14,11,353924.7947868407,3573554.3624505997,4511,0.26855164766311646,0.006173715461045504,29183.827738910913
2021-04-14,14,332641.73661240935,2409363.525645703,4905,0.4533405303955078,0.01651161164045334,23970.150222420692
2021-04-15,11,212564.07966187596,1546047.3243135065,4069,0.5470195412635803,0.020997924730181694,24696.75075107813
2021-04-15,14,404130.1339273453,2114313.234992549,5477,0.4697064757347107,0.03240547329187393,23757.165314495564
2021-04-16,11,275188.12124428153,1015588.3312309682,3449,0.5847333073616028,0.01752474159002304,18502.76012712717
2021-04-16,14,209567.00685548782,1251915.6303735375,4065,0.7363879084587097,0.025859544053673744,18117.511388719082
2021-04-17,11,202306.86970227957,1096658.0517562032,4037,0.6006366014480591,0.038764093071222305,19057.083913356066
2021-04-17,14,540241.5274673402,2279851.84736605,5465,0.6998377442359924,0.07191917300224304,23285.951653182507
2021-04-18,11,426219.275808692,1961201.0905543864,5355,0.5672373175621033,0.03578972816467285,26547.478326112032
2021-04-18,14,454162.7565892935,2331070.583016351,5636,0.5957313776016235,0.05065581575036049,30834.93243905902
2021-04-19,11,149855.0817478299,1172090.2630734146,5535,0.715156614780426,0.09223748743534088,22172.242481052876
2021-04-19,14,67195.78879591823,736884.9645601809,4885,0.822291374206543,0.1613222062587738,19256.276659607887
2021-04-20,11,67771.10582444072,749058.6396649033,4777,0.8451316952705383,0.1520620435476303,21652.176717847586
2021-04-20,14,82612.76096342504,886771.5515219122,4833,0.8279436230659485,0.18896792829036713,32136.46713683009
2021-04-21,11,202940.05221951008,930290.6543570757,4949,0.5883265137672424,0.18758375942707062,31759.77355325222
2021-04-21,14,74946.35778236389,520261.1996669471,4395,0.7500124573707581,0.2426804155111313,27302.06348565221
2021-04-22,11,390540.20911988616,1264152.5915259272,5078,0.7210959196090698,0.2022615373134613,38443.494538486004
2021-04-22,14,99258.17232969403,840935.3777753711,4260,0.7722235321998596,0.2960643470287323,30949.26894840598
2021-04-23,11,110629.85662186146,800987.8785683662,5461,0.8019953370094299,0.2516259551048279,16295.998641729355
2021-04-23,14,95895.564183563,700711.3325391859,4983,0.8205177783966064,0.27901071310043335,20748.07677578926
2021-04-24,11,264717.07377386093,1668483.0244556367,5755,0.6701297163963318,0.17539839446544647,33269.80495047569
2021-04-24,14,110152.38371175528,789553.7066069543,5887,0.6361229419708252,0.20681463181972504,19763.023864924908
2021-04-25,11,299739.24837219715,1651893.236396715,6200,0.616913378238678,0.12407205253839493,27093.03006413579
2021-04-25,14,108696.72178801894,1005764.5663628876,6468,0.698020875453949,0.1460801661014557,20879.70147487521
2021-04-26,11,209546.4384635687,1277356.7423806787,6155,0.5961679816246033,0.10189370065927505,31685.69664645195
2021-04-26,14,131294.72471430898,1126841.5713899732,6755,0.614763617515564,0.12745149433612823,16771.76871496439
2021-04-27,11,859013.5955733359,2686765.706853822,5398,0.43325236439704895,0.055908918380737305,32064.26005908847
2021-04-27,14,456502.1713218391,1877394.5567044169,5637,0.5899389982223511,0.07652989774942398,27488.74941381812
2021-04-28,11,419598.4712061584,1751918.695900172,5263,0.6275268197059631,0.0457385890185833,25679.233201622963
2021-04-28,14,181115.5482531786,1279472.2672421336,5313,0.7093983292579651,0.09311394393444061,22517.907451987267
2021-04-29,11,310206.8049893379,1761463.5960414559,5279,0.6359272003173828,0.05198902636766434,24129.89151418209
2021-04-29,14,81822.5977897942,844164.6795125604,5113,0.7618510723114014,0.08949460089206696,15805.170346140862
2021-04-30,11,698087.9337990135,2489674.864947811,5315,0.5576512813568115,0.020400242879986763,31494.430250376463
2021-04-30,14,574164.9541499913,2000169.1681644768,5939,0.640770435333252,0.037835538387298584,22290.323077440262
2021-05-01,11,616889.6859778464,2522744.705203235,4878,0.2987020015716553,0.005499838851392269,28696.347842872143
2021-05-01,14,713125.6587363482,2830019.80532746,4850,0.34792378544807434,0.006326190661638975,27751.60205796361
2021-05-02,11,339438.3006000221,2872479.741285868,5120,0.26740771532058716,0.0036844154819846153,27945.35881230235
2021-05-02,14,1531435.0479044914,3638770.59588179,5351,0.4060199558734894,0.007569869980216026,37074.72777810693
2021-05-03,11,700610.5609765053,2687976.6552106515,4909,0.3661571741104126,0.012959538027644157,29458.777831166983
2021-05-03,14,315502.87339791656,1361630.475966841,5013,0.515996515750885,0.025764910504221916,22094.49244019389
