fire_id,ignite_h,end_h,hours,damagearea,source,n_cells,coord_src,loc
94,2021-03-15 15:00:00,2021-03-15 16:00:00,2,0.4,point,1,original,경기 화성 남양
95,2021-03-14 17:00:00,2021-03-14 18:00:00,2,0.01,point,1,sgis_recovered,경기 광주 남한산성
96,2021-03-11 14:00:00,2021-03-11 18:00:00,5,0.5,point,1,original,강원 영월 김삿갓
97,2021-03-10 18:00:00,2021-03-11 00:00:00,7,0.01,point,1,original,전남 곡성 옥과
98,2021-03-10 15:00:00,2021-03-10 16:00:00,2,0.01,point,1,sgis_recovered,경남 통영 도산
99,2021-03-10 12:00:00,2021-03-10 13:00:00,2,0.5,point,1,original,경기 포천 신북
100,2021-03-09 15:00:00,2021-03-09 15:00:00,1,0.05,point,1,original,전북 장수 장수
101,2021-03-07 11:00:00,2021-03-07 12:00:00,2,0.01,point,1,original,경기 의왕 nan
102,2021-02-28 13:00:00,2021-02-28 14:00:00,2,0.02,point,1,original,울산 울주 온양
103,2021-02-28 09:00:00,2021-02-28 09:00:00,1,0.05,point,1,original,경기 양평 옥천
104,2021-02-27 15:00:00,2021-02-27 16:00:00,2,0.1,point,1,original,경기 고양 덕양
105,2021-02-27 15:00:00,2021-02-27 17:00:00,3,0.16,point,1,original,경기 광주 초월
106,2021-02-27 14:00:00,2021-02-27 18:00:00,5,0.1,point,1,sgis_recovered,경기 양평 양서
107,2021-02-27 14:00:00,2021-02-27 15:00:00,2,0.03,point,1,original,충남 서산 운산
108,2021-02-27 12:00:00,2021-02-27 14:00:00,3,0.06,point,1,original,경기 시흥 nan
109,2021-02-27 12:00:00,2021-02-27 13:00:00,2,0.1,point,1,original,경기 화성 송산
110,2021-02-26 13:00:00,2021-02-26 18:00:00,6,1.5,point,1,original,경기 연천 백학
111,2021-02-26 13:00:00,2021-02-26 16:00:00,4,0.1,point,1,original,강원 홍천 북방
112,2021-02-26 13:00:00,2021-02-26 14:00:00,2,0.17,point,1,original,인천 강화 화도
113,2021-02-26 12:00:00,2021-02-26 12:00:00,1,0.05,point,1,original,경기 용인 처인
114,2021-02-26 10:00:00,2021-02-26 11:00:00,2,0.06,point,1,original,경기 화성 남양
115,2021-02-26 10:00:00,2021-02-26 11:00:00,2,0.03,point,1,original,경기 포천 신북
116,2021-02-25 13:00:00,2021-02-25 15:00:00,3,0.03,point,1,original,경기 성남 분당
117,2021-02-24 15:00:00,2021-02-24 18:00:00,4,0.05,point,1,original,경북 고령 덕곡
118,2021-02-24 15:00:00,2021-02-24 17:00:00,3,0.03,point,1,original,충남 공주 신풍
119,2021-02-24 14:00:00,2021-02-24 15:00:00,2,0.03,point,1,original,충남 천안 동남
120,2021-02-24 14:00:00,2021-02-24 15:00:00,2,0.03,point,1,original,충남 아산 음봉
121,2021-02-24 14:00:00,2021-02-24 14:00:00,1,0.02,point,1,original,경북 안동 풍산
122,2021-02-24 07:00:00,2021-02-24 08:00:00,2,0.01,point,1,original,인천 부평 nan
123,2021-02-23 19:00:00,2021-02-23 23:00:00,5,0.66,point,1,original,경기 광주 곤지암
124,2021-02-23 16:00:00,2021-02-23 17:00:00,2,0.03,point,1,original,경기 포천 영중
125,2021-02-23 16:00:00,2021-02-23 17:00:00,2,0.01,point,1,original,전남 곡성 옥과
126,2021-02-23 14:00:00,2021-02-23 15:00:00,2,0.01,point,1,original,경기 의정부 nan
127,2021-02-23 14:00:00,2021-02-23 15:00:00,2,0.1,point,1,sgis_recovered,울산 남 nan
128,2021-02-22 17:00:00,2021-02-22 19:00:00,3,0.16,point,1,original,대구 동 nan
129,2021-02-22 14:00:00,2021-02-22 16:00:00,3,0.1,point,1,original,강원 화천 간동
132,2021-02-21 17:00:00,2021-02-21 20:00:00,4,0.1,point,1,sgis_recovered,경남 거창 신원
133,2021-02-21 16:00:00,2021-02-22 09:00:00,18,20.0,point,1,original,충북 영동 매곡
134,2021-02-21 16:00:00,2021-02-22 16:00:00,25,55.0,point,1,original,경북 예천 감천
135,2021-02-21 15:00:00,2021-02-21 16:00:00,2,0.1,point,1,original,전북 남원 송동
136,2021-02-21 15:00:00,2021-02-22 15:00:00,25,250.0,point,1,original,경북 안동 임동
137,2021-02-21 14:00:00,2021-02-22 14:00:00,25,10.0,point,1,original,경남 하동 악양
138,2021-02-21 14:00:00,2021-02-21 17:00:00,4,0.1,point,1,original,전남 여수 화양
139,2021-02-21 10:00:00,2021-02-21 14:00:00,5,0.5,point,1,original,경남 하동 하동
140,2021-02-20 22:00:00,2021-02-21 00:00:00,3,0.02,point,1,original,경북 의성 단촌
141,2021-02-20 16:00:00,2021-02-20 17:00:00,2,0.01,point,1,original,충남 당진 석문
142,2021-02-20 15:00:00,2021-02-21 15:00:00,25,12.0,point,1,original,강원 정선 여량
144,2021-02-19 11:00:00,2021-02-19 14:00:00,4,0.1,point,1,original,전남 여수 화양
145,2021-02-18 22:00:00,2021-02-19 10:00:00,13,6.5,point,1,original,강원 양양 양양
146,2021-02-18 14:00:00,2021-02-18 18:00:00,5,0.4,point,1,original,강원 강릉 성산
147,2021-02-16 20:00:00,2021-02-16 21:00:00,2,0.02,point,1,original,경남 김해 생림
148,2021-02-16 14:00:00,2021-02-16 19:00:00,6,1.0,point,1,original,강원 강릉 옥계
149,2021-02-16 11:00:00,2021-02-16 13:00:00,3,0.04,point,1,original,울산 울주 범서
150,2021-02-15 15:00:00,2021-02-15 17:00:00,3,0.08,point,1,original,경기 용인 처인
151,2021-02-14 14:00:00,2021-02-14 15:00:00,2,0.01,point,1,original,대구 달성 논공
152,2021-02-14 11:00:00,2021-02-14 14:00:00,4,0.06,point,1,original,경기 여주 강천
153,2021-02-13 15:00:00,2021-02-13 17:00:00,3,0.1,point,1,original,전남 고흥 포두
154,2021-02-13 14:00:00,2021-02-13 18:00:00,5,0.09,point,1,original,서울 강남 nan
157,2021-02-12 17:00:00,2021-02-12 18:00:00,2,0.02,point,1,original,경기 파주 nan
158,2021-02-12 16:00:00,2021-02-12 17:00:00,2,0.06,point,1,sgis_recovered,경기 양평 지평
159,2021-02-12 15:00:00,2021-02-12 18:00:00,4,0.01,point,1,original,전남 신안 안좌
160,2021-02-12 15:00:00,2021-02-12 17:00:00,3,0.02,point,1,original,경남 합천 야로
161,2021-02-12 15:00:00,2021-02-12 15:00:00,1,0.02,point,1,original,경기 용인 기흥
162,2021-02-12 13:00:00,2021-02-12 15:00:00,3,0.1,point,1,original,경북 의성 의성
163,2021-02-12 10:00:00,2021-02-12 11:00:00,2,0.02,point,1,sgis_recovered,경기 포천 관인
164,2021-02-11 13:00:00,2021-02-11 15:00:00,3,0.1,point,1,original,경북 경주 천북
166,2021-02-10 12:00:00,2021-02-11 11:00:00,24,3.0,point,1,original,전남 광양 nan
167,2021-02-10 10:00:00,2021-02-10 12:00:00,3,0.26,point,1,original,경북 영양 영양
168,2021-02-10 10:00:00,2021-02-10 11:00:00,2,0.01,point,1,original,경남 하동 적량
169,2021-02-09 16:00:00,2021-02-09 17:00:00,2,0.05,point,1,original,경북 영덕 영덕
170,2021-02-09 15:00:00,2021-02-09 17:00:00,3,0.05,point,1,sgis_recovered,경남 하동 양보
