prow,pcol,forest_ratio,pop_total,households,houses,low_count_only,is_wui,expo_rank,T,vpd,wind,hum4d,prcp4d,ndmi,y_prob_t1,haz_rank_t1,haz_top_t1,y_prob_t2,haz_rank_t2,haz_top_t2,y_prob_t3,haz_rank_t3,haz_top_t3,score_t1,rank
655,1069,0.35,5027.369714438915,2369.5636563897133,1679.910683810711,False,True,99.45213629659011,2024-02-14 07:00:00,3.6623685,1.1,65.231674,0.0,-0.0957,0.04716391,98.91656007824844,1.0834399217515625,0.0562492,99.40265700742715,0.5973429925728482,0.061985914,99.87263131872265,0.12736868127734624,99.18434818741927,2
650,1072,0.54,7364.659270584583,3316.2385507822037,2652.726648837328,False,True,99.8522503315691,2024-02-14 07:00:00,3.2465758,0.3,64.494125,0.0,-0.0698,0.03521023,98.40816019433129,1.5918398056687124,0.046560325,98.94396852864989,1.05603147135011,0.056271195,99.68211571740275,0.3178842825972481,99.1302052629502,3
590,1413,0.32999998,2679.8878031671047,1080.6384255290031,1013.7016701102257,False,True,98.38838826431325,2024-02-14 07:00:00,7.878133,3.2,45.826885,0.0,0.1095,0.07525765,99.66491825832733,0.335081741672667,0.056284018,99.40373184861937,0.5962681513806274,0.04373656,97.74363962724507,2.2563603727549264,99.02665326132029,4
623,1090,0.39,5464.003271073103,2365.6894755661488,1946.8510527014732,False,True,99.56319645004153,2024-02-14 07:00:00,3.012405,0.0,63.57168,0.0,-0.0458,0.03589872,98.44255511248214,1.5574448875178604,0.049722698,99.11379343701968,0.8862065629803197,0.062159114,99.87961778647205,0.12038221352794665,99.00287578126184,5
642,1052,0.41000003,4777.599588662386,2376.367395669222,1587.763700723648,False,True,99.37751775598993,2024-02-14 07:00:00,3.720451,0.4,65.40733,0.0,-0.0738,0.03797058,98.54547115663661,1.4545288433633914,0.04578306,98.89049517933725,1.1095048206627496,0.05127685,99.28872384105249,0.7112761589475127,98.96149445631326,6
621,1092,0.34,5261.441965401173,2583.8612180650234,2415.428866624832,False,True,99.51287231800885,2024-02-14 07:00:00,2.8116062,0.0,64.15504,0.0,-0.0685,0.03354405,98.30228833689823,1.6977116631017708,0.04743613,98.98991798961704,1.010082010382959,0.060105346,99.829100250438,0.17089974956199683,98.90758032745353,7
594,1413,0.48,1606.813626229763,873.8311601579189,533.6061462461948,False,True,97.54130669211796,2024-02-14 07:00:00,7.878133,3.5,45.825806,0.0,0.5175,0.112793066,99.97205412900244,0.027945870997555744,0.085191324,99.96614250244527,0.03385749755473455,0.06021344,99.83098122252437,0.1690187774756282,98.7566804105602,8
625,1099,0.36,6460.953340113163,2743.3177113234997,2721.0986860096455,False,True,99.74218178663064,2024-02-14 07:00:00,2.7367067,0.1,63.339123,0.0,-0.0153,0.028568188,97.71327536356503,2.2867246364349683,0.04020549,98.40708535313908,1.592914646860919,0.05074806,99.22288981802939,0.7771101819706132,98.72772857509784,9
627,1071,0.38000003,6065.237204015255,2489.2280283272266,2296.148600548506,False,True,99.68194156946836,2024-02-14 07:00:00,3.6339262,1.4,64.09004,0.0,-0.108,0.028810585,97.74847641261005,2.251523587389954,0.03237677,96.59839633694122,3.401603663058779,0.035847258,92.7116362307469,7.288363769253095,98.7152089910392,10
655,1069,0.35,5027.369714438915,2369.5636563897133,1679.910683810711,False,True,99.45213629659011,2024-02-14 08:00:00,3.762826,1.5,65.231674,0.0,-0.0957,0.063060775,99.48864430280426,0.5113556971957394,0.07256935,99.88284231004869,0.1171576899513127,0.07522257,99.8522093360706,0.1477906639293991,99.47039029969719,1
649,1075,0.32999998,8619.628509998322,3024.809305727482,2568.0619483590126,False,True,99.94372621688957,2024-02-14 08:00:00,3.6714346,0.5,64.51441,0.0,-0.0039,0.04632946,98.88028418801123,1.119715811988769,0.05888763,99.51390307082129,0.4860969291787143,0.067909025,99.77213366725066,0.22786633274934331,99.4120052024504,2
